Title,Day,Tags,Description,Speakers,PDF URL,Video URL
카카오에서 컨테이너를 사용하는 방법,day1 (8/29),"컨테이너, 쿠버네티스, k8s, knative, mesos, docker","카카오에서 사용중인 사내 컨테이너 플랫폼들에 대한 소개를 합니다.
단순 오픈소스 설치만이 아닌 사설 컨테이너 플랫폼을 구성할때 고려해야할 사항들에 대해서 공유합니다. 
카카오 서비스들에서 어떻게 사내 컨테이너 플랫폼들을 사용하고 있는지를 소개합니다.
이미지 저장소인 d2hub, 컨테이너 오케스트레이터인 dkos, helm 차트 저장소인 k2hub, 서버리스 앱런처등에 대해 설명합니다.
이런 서비스들이 어떤 필요에 의해 나오게 되었고, 어떻게 발전해 가고 있는지에 대해서도 이야기 합니다.",정원천(hardy.jung) <카카오>,https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T01-S01.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/1_101_01_m1.mp4
"오픈소스 데이터베이스, 흐르는 은행 데이터에 빨대를 꽂아보다.",day1 (8/29),"MySQL, Binlog, CDC, Replicator, DB","MySQL의 트랜잭션 로그인 바이너리로그를 활용하여, 흐르는 은행 서비스 데이터를 다른 샤딩 디비에 효율적으로 분산 저장하는 방안을 소개.
과거 KakaoADT 오픈소스 프로젝트 컨셉을 공유하는 프로젝트2탄이며, ""MySQL로 유입된 데이터""에 빨대를 꽂아, 타겟의 종류와는 상관없이, ""서비스 특화된 데이터로 재구성""하는 방안을 공유하고자 합니다.

- 데이터 샤딩의 목적과 한계점
- MySQL 바이너리로그 특성
- Kakao ADT의 컨셉과 비교
- 온라인 서비스를 위한 고려사항과 추가 개선사항
- 대용량 트래픽 성능 테스트
- 적용 사례 및 이슈사항",성동찬(chan.chan) <카카오뱅크>,https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T03-S01.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/1_102_01_m1.mp4
서비스 장애를 극복하는 게임플랫폼 구축하기 (Build a fault tolerant system),day1 (8/29),"서버, 아키텍쳐, 노하우","IT 서비스를 개발/운영 하다보면 다양한 원인들에 의해서 서비스 장애에 직면하게 됩니다. 
그 장애 요소들을 카카오게임즈 모바일게임플랫폼에서는 어떻게 사전 예방 하고 장애 발생시 어떻게 대응 하는지와 장애 허용 시스템 아키텍처가 플랫폼 서비스에 어떻게 적용되어 구축 되어 있는지에 대해서 공유하겠습니다. 개발/운영중인 서비스 담당하시는 분들은 서비스 안정성과 품질을 높이기 위해서 어떤 노력들이 필요한지 많은 정보를 얻어 가시기 바랍니다. 

- 왜 서비스 장애가 발생하는가?
- 장애 허용 시스템이란?
- 장애 허용 시스템 구성을 해야하는 이유
- 장애 허용 시스템 구축하기 ",엄익상(leo.eom) <카카오게임즈>,https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T02-S01.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/1_103_01_m1.mp4
리액트: 그것마저 결정해주마,day1 (8/29),"리액트, SSR, css-in-js, 프론트엔드, 노하우","리액트로 개발할 때 자주 하게되는 고민과 그에 대한 해결책을 설명한다.

고민1) 컴포넌트 코드를 일관성 있게 작성하고 싶어요.
고민2) 기존 클래스형 컴포넌트를 훅으로 변경해야 할까요?
고민3) 서버사이드 렌더링을 해야할까요?
고민4) 렌더 함수 안에서 새로운 객체를 생성해도 되나요?
고민5) 리덕스를 써야하나요?
고민6) 주위에서 타입스크립트 얘기가 많이 들리는데요, 정적 타입을 도입하는 게 좋을까요?",이재승(landvibe.podo) <카카오페이지>,https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T04-S01.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/1_104_01_m1.mp4
서버 성능테스트 Tip - 사례를 통해 얻은 교훈들,day1 (8/29),"서버, 성능테스트, 사례, 부하테스트, 노하우",게임은 대규모 고객의 트래픽이 순간적으로 인입되거나 대규모 트래픽이 지속적으로 유지되는 특성을 가진 서비스이다. 이런 특성상 서버의 성능 테스트는 서비스 런칭 전 가장 중요한 테스트 중 하나로 인식되고 있다. 이에 그 동안 진행한 다양한 서비스의 성능테스트 사례를 바탕으로 성능 테스트 진행 시 중요한 사항들 및 간과하기 쉬운 부분들에 대해 공유한다. 또한 이런 사례들을 바탕으로 도출된 카카오게임즈와 엔글의 성능테스트 프로세스 및 방법을 소개한다.,"문진섭(arther.moon) <카카오게임즈>, 신호용(hoyongsh.ngle) <카카오게임즈>",https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T05-S01.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/1_105_01_m1.mp4
클라우드를 위해 변화하고 있는 카카오 데이터센터 네트워크,day1 (8/29),"네트워크, 데이터센터, 클라우드, 자동화","카카오의 데이터센터 네트워크는 일찍부터 대용량의 오픈스택/K8S 의 성장을 뒷받침 할 수 있는 구조를 고민해 왔고 실제로 변화하고 있는 중입니다.
이번 세션에서는, 수 년전 부터 인프라의 자동화/클라우드화를 중단없이 지원하기 위해 진화하고 있는 카카오 데이터센터 네트워크 구조의 변화를 살펴보고 아울러 현재 고민하고 있는 향후 진화방향을 공유합니다.

- 물리적, 논리적 구성변화 내용 및 로드맵
- Provisioning 과 모니터링 
- K8S, OpenStack 에 대한 대응과 LBaaS
- 다음 단계로의 진화를 위해 아직 남아 있는 질문들
",서상덕(milo.seo) <카카오>,https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T01-S02.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/1_101_02_m1.mp4
Telemetry on K8S,day1 (8/29),"kocoon, k8s, telemetry, hermes, fluentd, helm","Telemetry on k8s
- 기존 시스템 (KEMI) 에서 KOCOON 을 진행하게 된 이유
- log collecting on k8s
- 대용량 logging을 하면서 겪었던 이슈와 해결 방식들 공유
","송지현(jenny.ssong) <카카오>, 임성국(issac.lim) <카카오>",https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T03-S02.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/1_102_02_m1.mp4
초당옥수수의 취소를 막아라! : 수만 건의 주문을 1초내에 처리하는 기술,day1 (8/29),"레거시개선, 비동기워커, 성능개선, RabbitMQ","카카오커머스 쇼핑플랫폼에서 판매자의 대량 처리 기능들을 개선하면서 겪은 문제점과 해결 방법에 대해 이야기합니다.
레거시 시스템이 가진 한계를 개선하기 위해 확장성을 가진 비동기 워커 구조를 도입하고,실패감지 및 복구가 가능하도록 설계한 노하우를 공유합니다. 
배포없이 빠르게 롤백하는 개선 경험도 나누고자 합니다.","고희경(sally.vic) <카카오커머스>, 마태일(dwayne.m) <카카오커머스>",https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T02_S02.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/1_103_02_m1.mp4
FE 개발자가 브라우저를 확장하기,day1 (8/29),"웹, 웹표준, houdini, worklet, 웹브라우저, 프론트엔드, 자바스크립트","웹 표준은 활발히 논의되고 또 추가된다. 웹 브라우저 벤더들은 꾸준히 새 표준을 웹 브라우저에 구현한다. 하지만 웹 애플리케이션은 다양하고 FE 개발자에게 필요한 기능은 항상 부족하다. 그렇기 때문에 개발자가 직접 브라우저의 동작을 확장하는 API가 표준화 진행 중이다. 이 세션에서는 그중 일부인 CSS Paint API, CSS Layout API를 통해 FE 개발자가 브라우저의 동작을 확장하는 방법을 설명하고, 또 적용해 본 경험을 공유한다.",황현구(copy.left) <카카오>,https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T04_S02.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/1_104_02_m1.mp4
컨테이너 CI/CD를 하나의 Jenkins pipeline으로으로 관리하기,day1 (8/29),"쿠버네티스, k8s, CI/CD, jenkins, 파이프라인","카카오페이 Devops팀에서는 Jenkins pipeline을 이용하여 K8S CI/CD를 제공하고 있습니다.
이 시스템은 Jenkins pipeline만 사용하던 버전에서 Jenkins pipeline, spinnaker, k8s, istio를 엮는 버전으로 발전하고 있습니다.
Devops 개발자 관점에서 하나의 pipeline을 이용하여 전체 K8S 서비스 CI/CD를 구축했던 방법과 경험을 공유합니다.",서강혁(pilsner.suh) <카카오페이>,https://mk.kakaocdn.net/dn/if-kakao/conf2019/%EB%B0%9C%ED%91%9C%EC%9E%90%EB%A3%8C_2019/T05-S02.pdf,https://mk.kakaocdn.net/dn/if-kakao/conf2019/conf_video_2019/1_105_02_m1.mp4
